Sector,Constituency,Candidate No.,Chin name,Name,Age,Political Affiliation,Incumbent,Occupation,Deputy to National People Congress/member of Chinese People's Political Consultative Conference,image,votes,Elected
GC,Hong Kong Island East,1,吳秋北,Stanley Ng Chau-pei,55,Hong Kong Federation of Trade Unions,Y,"Lawmaker, union worker",Deputy to National People Congress,stanley-ng-chau-pei.png,39707,Yes
GC,Hong Kong Island East,2,植潔鈴,Elaine Chik Kit-ling,37,Democratic Alliance for the Betterment and Progress of Hong Kong,,District councillor,,elaine-chik-kit-ling.png,22054,Yes
GC,Hong Kong Island East,3,郭浩景,Calvin Kwok Ho-king,46,New People's Party,,"District councillor, quantitative analyst",,calvin-kwok-ho-king.png,17344,No
GC,Hong Kong Island East,4,阮建中,Kenny Yuen Kin-chung,48,Liberal Party,,District councillor,,kenny-yuen-kin-chung.png,21696,No
GC,Hong Kong Island East,5,李清霞,Lee Ching-har,54,Democratic Alliance for the Betterment and Progress of Hong Kong,,District councillor,,lee-ching-har.png,16458,No
GC,Hong Kong Island West,1,楊哲安,Jeremy Young Chit-on,49,Liberal Party,,"District councillor, education consultant",,jeremy-young-chit-on.png,10675,No
GC,Hong Kong Island West,2,陳家珮,Judy Chan Kapui,45,New People's Party,Y,Lawmaker,,judy-chan-kapui.png,30033,Yes
GC,Hong Kong Island West,3,黃秋萍,Wong Chau-ping,53,,,District councillor,,wong-chau-ping.png,7384,No
GC,Hong Kong Island West,4,陳學鋒,Chan Hok-fung,49,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,"Lawmaker, banker",,chan-hok-fung.png,30543,Yes
GC,Hong Kong Island West,5,郭偉强,Kwok Wai-keung,47,Hong Kong Federation of Trade Unions,Y,"Lawmaker, union official",,kwok-wai-keung.png,25643,No
GC,Kowloon East,1,鄧家彪,Tang Ka-piu,46,Hong Kong Federation of Trade Unions,Y,Lawmaker,,tang-ka-piu.png,53675,Yes
GC,Kowloon East,2,張培剛,Cheung Pui-kong,48,Democratic Alliance for the Betterment and Progress of Hong Kong,,District councillor,,cheung-pui-kong.png,29116,Yes
GC,Kowloon East,3,顏汶羽,Ngan Man-yu,39,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,Lawmaker,,ngan-man-yu.png,24250,No
GC,Kowloon East,4,陳進雄,Jeffrey Chan Chun-hung,48,,,Healthcare engineering manager,,jeffrey-chan-chun-hung.png,3855,No
GC,Kowloon East,5,梁思韻,Leung Sze-wan,47,,,"District councillor, teacher",,leung-sze-wan.png,28834,No
GC,Kowloon West,1,關煒曦,Haywood Guan Weixi,34,,,District councillor,,haywood-guan-weixi.png,13592,No
GC,Kowloon West,2,劉愛詩,Lau Oi-sze,48,,,Chief executive of a charitable organisation        ,,lau-oi-sze.png,15708,No
GC,Kowloon West,3,梁文廣,Leung Man-kwong,41,,Y,Lawmaker,,leung-man-kwong.png,25692,Yes
GC,Kowloon West,4,龐朝輝,Pong Chiu-fai,51,Business and Professionals Alliance for Hong Kong,,"District councillor, doctor",,pong-chiu-fai.png,7285,No
GC,Kowloon West,5,鄭泳舜,Vincent Cheng Wing-shun,46,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,Lawmaker,,vincent-cheng-wing-shun.png,41767,Yes
GC,Kowloon Central,1,李超宇,Lee Chiu-yu,37,Business and Professionals Alliance for Hong Kong,,District councillor,,lee-chiu-yu.png,7615,No
GC,Kowloon Central,2,楊諾軒,Leo Yeung Nok-hin,35,,,"District councillor, accountant",,leo-yeung-nok-hin.png,15734,No
GC,Kowloon Central,3,楊永杰,Yang Wing-kit,43,,Y,Lawmaker,,yang-wing-kit.png,28163,Yes
GC,Kowloon Central,4,李慧琼,Starry Lee Wai-king,51,Democratic Alliance for the Betterment and Progress of Hong Kong,Y,"Lawmaker, accountant",Deputy to National People Congress Standing Committee,starry-lee-wai-king.png,53529,Yes
GC,Kowloon Central,5,丘燿誠,Yau Yiu-shing,43,Hong Kong Federation of Trade Unions,,District councillor,,yau-yiu-shing.png,12527,No
GC,Kowloon Central,6,譚莉儀,Tam Lee-yee,47,,,Compliance director,,tam-lee-yee.png,12487,No
GC,New Territories South East,1,葉傲冬,Chris Ip Ngo-tung,45,Democratic Alliance for the Betterment and Progress of Hong Kong,,"District councillor, company director",,chris-ip-ngo-tung.png,26250,Yes
GC,New Territories South East,2,李貞儀,Janet Lee Ching-yee,37,Hong Kong Federation of Trade Unions,,District councillor,,janet-lee-ching-yee.png,16636,No
GC,New Territories South East,3,方國珊,Christine Fong Kwok-shan ,59,Professional Power,,"District councillor, engineer",,christine-fong-kwok-shan.png,58828,Yes
GC,New Territories South East,4,張美雄,Cheung Mei-hung,37,Independent,,District councillor,,cheung-mei-hung.png,18681,No
GC,New Territories South East,5,陳志豪,Victor Chan Chi-ho,39,New People's Party,,District councillor,,victor-chan-chi-ho.png,18797,No
GC,New Territories North,1,譚鎮國,Tam Chun-kwok,37,,,District councillor,,tam-chun-kwok.png,41657,Yes
GC,New Territories North,2,曾勁聰,Kent Tsang King-chung,42,Hong Kong Federation of Trade Unions,,District councillor,,kent-tsang-king-chung.png,17930,No
GC,New Territories North,3,沈豪傑,Wilson Shum Ho-kit,47,Independent,,"District councillor, solicitor",Deputy to National People Congress,wilson-shum-ho-kit.png,22415,No
GC,New Territories North,4,廖子聰,Michael Liu Tsz-chung,39,New People's Party,,District councillor,,michael-liu-tsz-chung.png,9880,No
